Country Name,netMigration_2011_2018
Aruba,282.125
Afghanistan,25895.875
Angola,24791.625
Albania,-25823.5
Andorra,0.0
Arab World,-170199.375
United Arab Emirates,58750.0
Argentina,6750.0
Armenia,-6940.5
American Samoa,0.0
Antigua and Barbuda,117.875
Australia,222575.5
Austria,74021.25
Azerbaijan,1812.625
Burundi,-7499.75
Belgium,62334.0
Benin,-6533.5
Burkina Faso,-31250.0
Bangladesh,-519292.75
Bulgaria,-6059.125
Bahrain,35125.0
"Bahamas, The",1249.75
Bosnia and Herzegovina,-45806.875
Belarus,14471.375
Belize,1699.25
Bermuda,0.0
Bolivia,-13142.5
Brazil,15240.5
Barbados,-99.25
Brunei Darussalam,-112.625
Bhutan,237.5
Botswana,-7267.375
Central African Republic,-74516.125
Canada,306446.875
Central Europe and the Baltics,-180993.75
Switzerland,82158.25
Channel Islands,1290.5
Chile,90283.625
China,-411775.625
Cote d'Ivoire,-15000.0
Cameroon,-7500.0
"Congo, Dem. Rep.",16795.375
"Congo, Rep.",-10000.0
Colombia,103825.125
Comoros,-2500.0
Cabo Verde,-1842.25
Costa Rica,5082.25
Caribbean small states,-22313.25
Cuba,-19000.0
Curacao,1173.75
Cayman Islands,0.0
Cyprus,5938.625
Czech Republic,21256.75
Germany,582211.0
Djibouti,1312.875
Dominica,0.0
Denmark,22854.875
Dominican Republic,-37875.0
Algeria,-24158.75
East Asia & Pacific (excluding high income),-944907.25
Early-demographic dividend,-3214674.5
East Asia & Pacific,-424394.5
Europe & Central Asia (excluding high income),616943.625
Europe & Central Asia,2031943.625
Ecuador,17999.875
"Egypt, Arab Rep.",-58888.5
Euro area,1007101.5
Eritrea,-55661.25
Spain,-40055.25
Estonia,1129.875
Ethiopia,68749.875
European Union,957363.875
Fragile and conflict affected situations,-2143481.0
Finland,18927.0
Fiji,-10369.75
France,75808.375
Faroe Islands,0.0
"Micronesia, Fed. Sts.",-749.75
Gabon,14577.25
United Kingdom,325435.125
Georgia,-18167.5
Ghana,-12500.0
Gibraltar,0.0
Guinea,-39218.625
"Gambia, The",-3859.0
Guinea-Bissau,-1750.125
Equatorial Guinea,21249.625
Greece,-30224.875
Grenada,-250.0
Greenland,0.0
Guatemala,-12025.5
Guam,-1265.75
Guyana,-8125.0
High income,4229570.375
"Hong Kong SAR, China",27679.25
Honduras,-8000.0
Heavily indebted poor countries (HIPC),-543142.5
Croatia,-9812.125
Haiti,-40625.0
Hungary,7499.75
IBRD only,-1029320.75
IDA & IBRD total,-4229179.75
IDA total,-3199859.0
IDA blend,-571339.0
Indonesia,-118653.0
IDA only,-2628520.0
Isle of Man,0.0
India,-626688.625
Not classified,0.0
Ireland,775.125
"Iran, Islamic Rep.",-97167.875
Iraq,167847.25
Iceland,-32.875
Israel,8687.375
Italy,297760.25
Jamaica,-14164.5
Jordan,138482.25
Japan,89491.625
Kazakhstan,8725.875
Kenya,-12500.0
Kyrgyz Republic,-14169.125
Cambodia,-37499.75
Kiribati,-1015.25
St. Kitts and Nevis,0.0
"Korea, Rep.",57480.0
Kuwait,97200.0
Latin America & Caribbean (excluding high income),-679805.0
Lao PDR,-23228.875
Lebanon,130286.75
Liberia,0.0
Libya,-38749.875
St. Lucia,0.0
Latin America & Caribbean,-675332.25
Least developed countries: UN classification,-1560769.125
Low income,-1453335.375
Liechtenstein,0.0
Sri Lanka,-121838.0
Lower middle income,-2980644.75
Low & middle income,-4221663.5
Lesotho,-12242.25
Late-demographic dividend,121561.375
Lithuania,-38764.875
Luxembourg,12176.0
Latvia,-19688.875
"Macao SAR, China",8418.75
St. Martin (French part),0.0
Morocco,-78025.5
Monaco,0.0
Moldova,-1744.375
Madagascar,-1875.0
Maldives,14401.125
